tabula-ACT5065482023ENGLISH (2)
COUNTRY,2022 RECORDED EXECUTIONS,2022 RECORDED DEATH SENTENCES,PEOPLE KNOWN TO BE UNDER SENTENCE OF DEATH AT THE END OF 2022
Antigua and Barbuda,0,0,0
Bahamas,0,0,0
Barbados,0,0,5
Belize,0,0,0
Cuba,0,0,0
Dominica,0,0,0
Grenada,0,0,1
Guatemala,0,0,0
Guyana,0,4,17
Jamaica,0,0,0
Saint Kitts and Nevis,0,0,0
Saint Lucia,0,0,0
Saint Vincent and the Grenadines,0,0,1
Trinidad and Tobago,0,5,43
USA,18,21,N/A
Afghanistan,+,+,+
Bangladesh,4,169,"2,000"
Brunei Darussalam,0,0,+
China,+,+,+
India,0,165,539
Indonesia,0,112,452
Japan,1,0,116
Laos,0,5,+
Malaysia,0,16,"1,337"
Maldives,0,1,20
Myanmar,4,37,119
North Korea,+,+,+
Pakistan,0,127,3831
Papua New Guinea,0,0,28
Singapore,11,5,50
South Korea,0,1,60
Sri Lanka,0,8,1000
Taiwan,0,3,45
Thailand,0,104,195
Tonga,0,0,0
Vietnam,+,102,1200
Belarus,1,0,1
Kazakhstan,0,0,1
Russia,0,0,0
Tajikistan,0,0,0
Algeria,0,54,+
Bahrain,0,2,41
Egypt,24,538,+
Iran,576,+,+
Iraq,11,41,"7,900"
Israel,0,0,0
Jordan,0,4,219
Kuwait,7,16,24
Lebanon,0,2,+
Libya,0,18,18
Morocco/Western Sahara,0,0,82
Oman,0,0,+
Palestine (State of),5,28,238
Qatar,0,+,+
Saudi Arabia,196,12,21
Syria,+,+,+
Tunisia,0,26,115
United Arab Emirates,0,2,11
Yemen,4,78,84
Botswana,0,1,7
Burkina Faso,0,0,0
Cameroon,0,0,250
Central African Republic,0,0,0
Comoros,0,2,12
Democratic Republic of the Congo,0,76,166
Equatorial Guinea,0,0,N/A
Eritrea,0,0,N/A
Eswatini,0,0,1
Ethiopia,0,2,+
Gambia,0,9,13
Ghana,0,7,172
Kenya,0,79,656
Lesotho,0,0,0
Liberia,0,0,17
Malawi,0,0,+
Mali,0,8,8
Mauritania,0,5,163
Niger,0,4,8
Nigeria,0,77,3167
Sierra Leone,0,0,0
Somalia,6,10,10
South Sudan,5,4,96
Sudan,0,1,96
Tanzania,0,11,491
Uganda,0,0,135
Zambia,0,2,390
Zimbabwe,0,0,61
